name,birth_year,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,retire_year,AVG,OBP,SLG,OPS
Anthony Cooper,1909,320,1098,134,263,30,12,6,116,18,21,53,189,1941,0.239526412,0.274543875,0.305100182,0.579644057
Anthony Gose,1989,372,1128,155,271,47,19,12,69,57,23,101,353,2016,0.240248227,0.30268511,0.34751773,0.65020284
Anthony Recker,1988,206,552,55,110,28,0,18,70,3,2,60,193,2017,0.199275362,0.277777778,0.347826087,0.625603865
Anthony Rendon,1990,1173,4350,683,1218,295,16,158,671,55,17,547,779,2024,0.28,0.36042475,0.464137931,0.824562681
Anthony Rizzo,1988,1727,6288,922,1644,338,22,303,965,72,44,781,1208,2024,0.261450382,0.343047107,0.466762087,0.809809194
Anthony Santander,1994,746,2830,383,695,155,6,155,435,10,7,226,644,2024,0.245583039,0.301374346,0.468904594,0.770278939
Anthony Volpe,2000,319,1178,152,268,50,11,33,120,52,12,94,323,2024,0.227504244,0.284591195,0.372665535,0.65725673
Antone Williamson,1974,24,54,2,11,3,0,0,6,0,1,4,8,1997,0.203703704,0.25862069,0.259259259,0.517879949
Antonio Mirabal,1916,34,114,11,20,0,0,0,5,1,5,11,37,1940,0.175438596,0.248,0.175438596,0.423438596
Antonio Perez,1980,216,495,62,121,25,4,6,43,16,6,49,144,2006,0.244444444,0.3125,0.347474747,0.659974747
Antonio Rodriguez,1916,18,67,9,16,1,0,0,6,1,2,3,0,1939,0.23880597,0.271428571,0.253731343,0.525159915
Aramis Garcia,1997,119,308,27,65,5,0,10,25,0,1,10,117,2024,0.211038961,0.235849057,0.324675325,0.560524381
Aramis Ramirez,1975,2194,8136,1098,2303,495,24,386,1417,29,18,633,1238,2015,0.28306293,0.334815828,0.492133727,0.826949555
